Pts/MP,Gls,GA,Ast,Sh/90,Dist,PKatt,Cmp,Cmp%,PrgDist,Att 3rd,TotDist,Tkl+Int,Err,Save%,Fls,Won%
2.33,2.2222222222222223,0.9259259259259259,1.7777777777777777,19.11,17.6,0.25925925925925924,518.7407407407408,83.0,3059.222222222222,194.55555555555554,2362.8888888888887,24.88888888888889,0.4444444444444444,74.5,12.37037037037037,57.5
2.3,2.259259259259259,1.0,1.7037037037037037,18.11,17.2,0.18518518518518517,642.1851851851852,88.4,2953.740740740741,271.3703703703704,2813.777777777778,18.814814814814813,0.4074074074074074,67.9,8.185185185185185,52.8
2.26,2.4074074074074074,0.8518518518518519,1.6666666666666667,16.78,16.0,0.2962962962962963,533.5925925925926,85.2,2776.1481481481483,234.8148148148148,2233.8888888888887,23.333333333333332,0.48148148148148145,63.9,9.555555555555555,50.4
2.04,2.074074074074074,1.3703703703703705,1.5185185185185186,14.59,16.2,0.14814814814814814,441.48148148148147,83.7,2598.4074074074074,152.22222222222223,2173.8888888888887,20.925925925925927,0.2222222222222222,66.1,10.851851851851851,47.3
1.92,2.0,1.5,1.6538461538461537,15.69,16.5,0.038461538461538464,534.5384615384615,85.1,2925.8076923076924,207.03846153846155,2424.153846153846,29.307692307692307,0.6153846153846154,70.8,10.73076923076923,47.0
1.63,1.3703703703703705,1.4444444444444444,0.9629629629629629,14.22,17.1,0.1111111111111111,412.2962962962963,80.4,2373.259259259259,167.11111111111111,1973.8148148148148,25.40740740740741,0.2962962962962963,73.3,10.481481481481481,49.4
1.56,1.5555555555555556,1.7407407407407407,1.1481481481481481,11.44,16.1,0.14814814814814814,335.3703703703704,76.7,2257.3333333333335,122.62962962962963,1634.1851851851852,27.925925925925927,0.2222222222222222,73.8,10.518518518518519,49.3
1.48,2.074074074074074,1.6666666666666667,1.3333333333333333,13.41,15.7,0.18518518518518517,434.962962962963,81.8,2557.3333333333335,152.4814814814815,1935.962962962963,24.11111111111111,0.48148148148148145,70.4,10.185185185185185,52.8
1.44,1.7037037037037037,1.6296296296296295,1.2962962962962963,14.96,16.5,0.18518518518518517,602.5925925925926,87.4,3112.6296296296296,186.40740740740742,2557.5185185185187,24.037037037037038,0.6296296296296297,64.9,10.666666666666666,55.2
1.41,1.4074074074074074,1.5925925925925926,1.1481481481481481,11.81,16.4,0.1111111111111111,395.1111111111111,79.8,2214.0,134.0,1933.8148148148148,27.22222222222222,0.4444444444444444,69.4,12.407407407407407,50.2
1.38,1.6538461538461537,1.6538461538461537,1.1538461538461537,12.96,16.9,0.3076923076923077,527.3076923076923,85.5,2892.1923076923076,178.5,2230.3076923076924,25.73076923076923,0.5769230769230769,70.4,12.461538461538462,54.5
1.3,1.4074074074074074,1.5555555555555556,1.0,12.33,17.6,0.07407407407407407,429.48148148148147,80.7,2583.703703703704,145.92592592592592,1968.5185185185185,28.555555555555557,0.4444444444444444,73.7,9.962962962962964,49.9
1.19,1.3461538461538463,1.8076923076923077,0.9615384615384616,13.19,16.6,0.038461538461538464,310.7307692307692,74.7,2149.8846153846152,142.1153846153846,1698.8076923076924,28.384615384615383,0.38461538461538464,68.4,13.192307692307692,45.1
1.04,1.1851851851851851,1.7407407407407407,0.8518518518518519,11.3,17.2,0.14814814814814814,329.1111111111111,76.7,2218.074074074074,130.5185185185185,1442.5555555555557,27.703703703703702,0.18518518518518517,60.4,11.851851851851851,49.2
0.96,1.4074074074074074,1.8518518518518519,0.8888888888888888,12.59,15.1,0.1111111111111111,339.18518518518516,75.3,2310.0,133.8148148148148,1481.5555555555557,28.25925925925926,0.48148148148148145,64.7,10.037037037037036,50.0
0.93,1.0740740740740742,1.3703703703703705,0.5185185185185185,13.81,16.5,0.037037037037037035,293.7037037037037,72.9,2324.962962962963,137.33333333333334,1378.111111111111,29.703703703703702,0.25925925925925924,71.4,12.185185185185185,53.8
0.89,1.2592592592592593,1.8148148148148149,1.0740740740740742,11.0,16.7,0.037037037037037035,305.25925925925924,75.0,2136.6666666666665,119.25925925925925,1399.5185185185185,28.48148148148148,0.37037037037037035,61.0,11.333333333333334,51.4
0.77,1.3076923076923077,2.076923076923077,0.8461538461538461,12.12,16.3,0.15384615384615385,281.34615384615387,72.1,2081.3846153846152,136.0,1576.8076923076924,26.807692307692307,0.46153846153846156,66.2,11.73076923076923,50.1
0.48,0.9259259259259259,2.2222222222222223,0.7407407407407407,10.37,17.4,0.037037037037037035,360.51851851851853,77.3,2115.296296296296,126.22222222222223,1731.7037037037037,23.22222222222222,0.48148148148148145,66.0,10.962962962962964,43.6
0.48,0.7037037037037037,2.6666666666666665,0.37037037037037035,8.78,18.0,0.14814814814814814,249.66666666666666,70.3,1843.888888888889,100.4074074074074,1109.2222222222222,28.85185185185185,0.5925925925925926,61.2,11.481481481481481,45.3
